Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007]
Slovenia,SVN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,16459.9990844727,16969.9993133545,17100.0003814697,16920.0000762939,16100.0003814697,16010.0002288818,17510.0002288818,18139.9993896484,18750,18809.9994659424,18510.0002288818,20489.9997711182,19520.0004577637
Slovenia,SVN,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,2,..,2.3,..
Solomon Islands,SLB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,20,20,20,20,20,20,20,20,20,20,20,20,20
Solomon Islands,SLB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,108.251815080643,61.142634361982,111.864757299423,158.825694531202,142.227768152952,143.379435151815,143.000942915678,153.820945650339,166.895655721426,197.868241041899
Solomon Islands,SLB,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Solomon Islands,SLB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,409.999996423721,400.000005960464,400.000005960464,389.999985694885,379.999995231628,370.000004768372,370.000004768372,360.000014305115,349.999994039536,340.000003576279,340.000003576279,330.000013113022,319.999992847443
Solomon Islands,SLB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,939.999997615814,920.000016689301,889.999985694885,860.000014305115,790.000021457672,800.000011920929,829.999983310699,779.999971389771,759.999990463257,740.000009536743,720.000028610229,699.999988079071,699.999988079071
Solomon Islands,SLB,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,6190,6320,6370,6460,6530,6550,6540,6520,6440,6420,6370,6370,6380
Somalia,SOM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,-368.44170331955,-356.67217540741,-357.06561088562,-310.703034877781,-338.848317146301,-308.70266628265,-271.874858856201,-213.044164657589,-279.77963924408,-241.302665710449
Somalia,SOM,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,17979.9995422363,18190.0005340576,18200.0007629395,18299.9992370605,18350.0003814697,18280.0006866455,18159.9998474121,18090.0001525879,17870.0008392334,17739.9997711182,17629.9991607666,17610.0006103516,17600.0003814697
Somalia,SOM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,25149.9996185303,25450.0007629395,25489.9997711182,25659.9998474121,25770.0004577637,25709.9990844727,25569.9996948242,25450.0007629395,25149.9996185303,24989.9997711182,24790.0009155273,24760.0002288818,24729.9995422363
Somalia,SOM,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,18510,19240,19630,17920,18680,19870,19600,20090,19690,19760,19910,19810,19340
South Africa,ZAF,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,49022.15625,45882.779296875,52918.142578125,50625.9765625,54698.271484375,33844.240234375,31794.2890625,15479.11328125,13354.0390625,7556.5625
South Africa,ZAF,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,811,..,691.6,..
South Africa,ZAF,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,80129.997253418,79839.9963378906,80110.0006103516,78739.9978637695,79160.0036621094,79919.9981689453,79029.9987792969,79209.9990844727,77260.0021362305,77260.0021362305,76489.9978637695,76110.0006103516,74199.9969482422
South Africa,ZAF,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,555429.992675781,549650.024414063,550700.012207031,536190.002441406,536119.995117188,560859.985351563,548349.975585938,538549.987792969,518340.026855469,534119.995117188,511380.004882813,532450.012207031,499380.004882813
South Africa,ZAF,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,1922,..,1743.6,..
South Sudan,SSD,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,18940,23070,21650,22810,22160,21910,21620,22210,20510,20490,21710,21260,21540
South Sudan,SSD,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
